iso3,pays,CP1,CP2,CP3,CP4
LTU,Lithuania,1.5320888117242633,-0.4502297386750194,-0.873843547205277,0.4055761408427399
LUX,Luxembourg,3.764502950046388,-0.5998664920896496,0.38095033945343965,2.0129261749988894
MKD,North Macedonia,0.6928435918979684,-1.482404261097133,0.27426818628040084,-0.20371566094024174
MDG,Madagascar,-2.758454308773009,-0.3624754050511753,-0.4815200637324892,-1.0887038105389417
MYS,Malaysia,0.1064814340051278,1.580746284453191,-0.7243250489346008,-0.4541413074807383
MWI,Malawi,-2.4847574846127465,-0.4889294474241724,0.2375841606803839,0.29785671461563445
MDV,Maldives,0.5974898887274945,-2.1144062838424564,0.28409218475666,0.44298781421918365
MLI,Mali,-2.5929337785642694,-0.35256822518914255,-0.26106205158088147,0.4919748777308437
MLT,Malta,2.1229232031061684,-1.345865418149334,-1.3532499763895884,2.326249495375441
MAR,Morocco,-0.843567296394026,0.6733367047646078,-0.8912999958571111,0.32444626894283024
MUS,Mauritius,0.6019436771642093,-0.5277346218204303,-1.1908541865077258,-0.008963237080787513
MRT,Mauritania,-0.7160177574760564,-1.4027490298670189,0.7143261612751417,2.418767629668231
MEX,Mexico,0.22739825285384915,3.9641745267280557,2.028134689174579,-1.4871682595670819
MNG,Mongolia,-0.5823008022476678,-1.684536579165497,-0.15574127304807905,0.9739822546796528
MNE,Montenegro,0.9083721591665279,-1.5206264981032573,-0.4374004686454772,0.408730906454896
MOZ,Mozambique,-2.5413312205468337,-0.47030780033761915,0.9032613445183627,-0.22531333647288113
MMR,Myanmar,-1.9440630019366487,0.8625243297660166,-0.8824680205249271,-1.0557675008326564
NAM,Namibia,0.5688700960246644,-1.6355348636470644,0.9416068811342755,0.20778511174458839
NIC,Nicaragua,-0.9323758898302591,-0.32401054590515177,-1.2367726433596895,-1.0279292108106934
NER,Niger,-2.37961555875618,-0.515700248034305,-0.00626037950086332,0.656245847759744
NGA,Nigeria,-3.5585260078337786,0.13584287293073313,2.3574092820849297,2.061623918184536
NOR,Norway,1.6318232255170995,1.1209162085994957,-0.5497442930345866,2.209415720153379
NCL,New Caledonia,1.9220191399391702,-1.7258935126258454,0.30985568591827295,-0.2527929178455404
NZL,New Zealand,1.6616388176072328,0.9044963614959995,-1.379154984416679,0.14333205306548585
NPL,Nepal,-1.9762692676018214,-0.16490989853401475,-1.5927220253189054,0.7032436995459097
OMN,Oman,1.6458768614425425,-0.936713291996977,1.7546141388128016,0.10501472665673565
UGA,Uganda,-2.650361617474288,-0.2737285622259302,0.06857474890465623,0.2591077267104624
UZB,Uzbekistan,-2.80990447082058,-0.35825456225813246,0.2052426011925053,0.5249159253830419
